Año,Trimestre,Provincia,Otros,"0,256 Mbps","0,375 Mbps","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,6 Mbps",11 Mbps,12 Mbps,13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,47 Mbps,48 Mbps,49 Mbps,50 Mbps,51 Mbps,52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps,78 Mbps,80 Mbps,81 Mbps,83 Mbps,82 Mbps,86 Mbps
2022,3,La Rioja,0,0,0,0,90,9,0,689,0,0,0,8,0,0,0,8270,0,0,0,2,0,162,18430,0,2,0,85,0,32880,0,22,15855,0,0,475,0,0,0,0,7867,0,0,0,580,243,0,0,0,0,0,0,4510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Mendoza,4771,1,0,0,860,16,737,2216,0,0,1348,3356,0,0,0,49660,0,0,10699,1639,0,908,213160,0,1323,0,10780,1467,84070,0,0,18778,0,0,19555,0,0,0,0,9868,0,0,0,9774,134,0,0,0,0,0,0,53505,0,0,0,0,18,0,0,0,29,0,1,0,0,0,0,83470,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2022,3,Misiones,8350,0,0,0,470,4,0,3749,0,0,0,11079,0,0,0,52370,0,0,4,1622,0,6236,124500,0,585,0,48,6,201190,0,4,149,0,1,3290,1,0,218,0,9013,0,0,0,0,851,0,0,0,0,0,0,18783,0,0,0,0,0,0,0,0,71,0,264,0,0,0,0,38809,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0
2022,3,Neuquén,14858,0,0,0,620,72,458,533,0,0,0,1561,0,0,0,68530,0,0,10737,1464,0,9051,88190,0,276,0,6446,0,73580,0,0,1426,0,1,4702,0,0,655,0,2416,0,0,0,0,1369,0,0,0,0,0,0,16983,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,34320,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,899,0,0,0,0
2022,3,Río Negro,24271,0,0,0,360,75,501,720,0,0,0,2935,0,0,0,66870,0,0,7796,2944,0,1899,106750,0,0,0,9421,1,84380,0,18,10439,0,0,9226,0,0,490,0,7761,0,0,0,0,2732,0,0,0,0,0,0,16126,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,18796,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
2022,3,Salta,6491,0,0,0,410,73,1,1489,0,0,0,1553,0,0,0,78750,0,0,8,8200,0,4403,108840,0,303,0,5541,0,653550,0,0,380,0,0,2129,0,0,7,0,3146,0,0,0,0,886,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,San Juan,11619,0,0,0,210,3,723,1304,0,0,0,1405,0,0,0,114930,0,0,11509,860,0,2030,30270,0,1161,0,9391,32,6630,0,0,10705,0,0,10662,0,0,0,0,790,0,0,0,5653,811,0,0,0,0,0,0,10387,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8732,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,San Luis,14815,0,0,0,590,1,163,144,0,0,0,100,0,0,0,12430,0,0,1418,0,0,134,36680,0,112,0,2373,621,177070,0,0,10015,0,0,1827,0,0,0,0,219,0,0,0,0,67438,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Santa Cruz,647,3,0,0,260,23,218,6623,0,0,0,2299,0,0,0,28590,0,0,2001,962,0,1921,23000,0,17,0,2318,9,89690,0,0,5345,0,0,4597,0,0,940,0,496,0,0,0,152,1865,0,0,0,0,0,0,323,0,0,0,427,0,0,0,0,35,0,0,0,0,0,0,3881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0
2022,3,Santa Fe,20209,32,0,0,3350,101,5,11127,0,0,0,9721,0,0,0,378090,0,0,172,4424,0,23587,569960,0,4421,0,10767,754,1826460,0,0,6934,135,0,16312,61,0,1423,0,46032,0,0,0,39,22781,0,0,0,0,0,0,34778,0,0,0,9,18,0,2,0,1807,0,85,0,0,0,0,205123,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,1605,0,0,0,0
