ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_conexion,Accesos por cada 100 hab,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Hasta 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros Mbps,Total suma Mbps
145486,2968,116,580,490,148677,9,37.24,148636,41,231,18515,83945,33891,11310,1032,2,0,148926
1574216,1355770,113463,18867,24276,3086592,18,60.14,3075387,11205,5856,107945,2148475,393530,399116,52900,13318,0,3121140
447726,905105,36796,2514,10963,1403104,46,120.77,1395053,8051,331,995,759028,208249,240856,38341,13886,0,1261686
26689,248,14,10,180,26970,7,26.48,26957,13,15,4038,16183,4845,1853,50,0,0,26984
56251,32730,232,20,150,89230,8,28.91,89216,14,190,5227,46821,21193,13746,2022,217,0,89416
43987,935,916,13364,475,63952,11,36.18,62222,1730,466,5190,74375,674,0,0,0,0,80705
55934,30813,217,1354,220,88340,8,31.07,88328,12,15,7425,49471,19956,10006,1263,210,0,88346
348481,285480,2540,5695,3950,642591,18,58.24,642458,133,48,41329,415075,75988,99225,11691,1322,0,644678
112588,61850,206,6441,640,181149,14,45.44,181092,57,1768,10657,110844,38665,17737,1307,248,0,181226
21800,5905,9,0,20,27716,5,18.64,27716,0,1723,4277,15581,3964,3658,648,10,0,29861
34250,8236,22,0,300,42538,6,22.61,42537,1,286,6878,27425,5943,1978,31,0,0,42541
12751,45952,4910,6236,5150,70364,20,61.73,69903,461,374,10187,55792,15,224,114,11,0,66717
16891,0,15,20,220,16930,5,17.07,16912,18,9,2349,9686,3316,1562,11,2,0,16935
153233,13030,2576,280,1757,170624,9,32.09,169174,1450,37,10,178186,73,48,5,17,0,178376
59776,38130,79,50,70,97997,8,29.91,97997,0,1010,6030,48871,23394,17043,1559,91,0,97998
51752,44739,1093,12402,2617,112603,18,60.21,110491,2112,1531,1527,87404,680,12541,2118,225,0,106026
67043,28496,942,3293,1252,101026,14,46.39,100024,1002,1007,6026,90689,207,5953,790,99,0,104771
80866,26113,90,1570,5650,107791,8,32.96,107790,1,1107,6922,71214,20229,8099,197,50,0,107818
48670,451,770,1174,9030,51968,7,27.32,51348,620,8,245,58577,0,0,0,2,0,58832
11432,1113,354,230,3710,13293,3,9.63,12978,315,7,4,14077,0,0,1,2,0,14091
15570,2722,817,4978,217,26257,8,26.84,25886,371,189,22,31904,221,52,9,0,0,32397
334911,223011,3037,4862,119,567011,17,52.67,566625,386,3958,49501,360606,72657,69864,10210,1308,0,568104
31730,3900,19,30,80,35660,4,15.33,35658,2,26,5097,22747,6216,2497,9,0,0,36592
22636,6276,665,10,2347,31925,20,68.94,31306,619,16,285,35080,0,0,0,0,0,35381
147259,3850,116,530,410,151319,9,37.9,151282,37,127,12247,87970,36518,13150,1288,4,0,151304
1563542,1414676,118747,21394,24342,3142701,19,61.24,3131499,11202,6055,86281,2085605,403575,467398,72348,17279,0,3138541
434835,914952,38161,2583,10928,1401459,46,120.63,1393443,8016,517,1477,704324,225723,264582,53506,16756,0,1266885
26735,250,14,10,340,27034,7,26.54,27021,13,15,3478,16519,4889,2077,54,0,0,27032
54974,33534,248,520,390,88847,8,28.79,88833,14,191,3983,45634,21323,14887,2586,250,0,88854
43994,955,916,13107,4793,63765,11,36.07,62035,1730,401,4493,73951,1352,0,0,0,0,80197
54981,31497,233,1354,310,88096,8,30.98,88084,12,15,6109,48995,20187,10908,1645,234,0,88093
337368,289344,3368,5686,7890,636555,18,57.7,636422,133,50,29380,404645,77966,108368,15458,1606,0,637473
109359,64141,226,6448,710,180245,13,45.21,180188,57,1680,8253,110296,38491,19509,1801,280,0,180310
22400,6061,16,1023,130,29513,5,19.85,29513,0,1573,3519,15791,4114,3855,649,17,0,29518
33838,8731,22,0,340,42625,6,22.65,42624,1,303,6225,27778,6143,2134,43,0,0,42626
12754,47245,5054,6253,5220,71828,21,63.02,71368,460,368,9789,56694,16,335,132,11,0,67345
16270,0,16,20,280,16316,4,16.46,16298,18,9,1646,9635,3334,1675,13,3,0,16315
153320,13030,2579,270,1769,170725,9,32.11,169274,1451,114,16,177194,79,49,5,20,0,177477
57983,39294,100,50,80,97390,8,29.72,97390,0,1010,4783,47454,23433,18371,2215,126,0,97392
51742,46389,1124,1191,267,113835,18,60.87,111723,2112,1539,1406,84859,792,14153,3073,271,0,106093
67057,28474,954,3274,1261,101020,14,46.39,100020,1000,998,2953,92967,248,6317,1174,122,0,104779
79389,26657,110,1580,6210,106935,8,32.69,106934,1,577,5027,71636,20787,8611,239,70,0,106947
48670,451,772,1121,9070,51921,7,27.29,51301,620,8,220,58608,0,0,0,4,0,58840
11432,1120,354,260,3750,13307,3,9.64,12992,315,8,4,14014,0,0,1,2,0,14029
15607,2722,1055,4823,2257,26464,8,27.05,26094,370,189,23,31369,342,80,10,0,0,32013
326721,225792,3201,4946,1172,561832,16,52.19,561470,362,4966,40102,349722,74401,77667,13155,1529,0,561542
30192,3900,19,9110,290,35051,4,15.07,35049,2,26,3925,22246,6178,2664,15,0,0,35054
22636,6905,665,10,235,32557,21,70.31,31938,619,16,285,35409,0,0,0,0,0,35710
146995,4482,116,140,450,151652,9,37.98,151615,37,96,10021,87994,37721,14389,1400,10,0,151631
1559178,1465817,118839,212,24342,3189376,19,58.57,3178174,11202,6017,83918,2057698,402315,523540,90937,22299,0,3186724
428801,918328,38259,273,10928,1399046,46,108.37,1391030,8016,510,1409,678922,218487,277195,66536,19881,0,1262940
26020,248,14,10,340,26317,7,25.66,26304,13,15,3328,15861,4901,2161,49,0,0,26315
54430,34277,252,520,390,89050,8,28.62,89036,14,191,3835,44544,21467,15671,3025,314,0,89047
43994,999,916,13194,4793,63896,11,35.66,62166,1730,401,4182,73759,1808,0,0,0,0,80150
54993,31994,236,1354,310,88608,8,30.94,88596,12,15,6040,48149,20586,11468,2044,303,0,88605
335673,293479,4871,5782,1394,641199,18,57.65,641066,133,50,28732,391556,82011,118643,19035,2071,0,642098
108509,65095,230,6448,710,180353,13,44.91,180296,57,1680,8080,108379,39146,20562,2254,317,0,180418
22438,6215,16,1023,130,29705,5,19.84,29705,0,1535,3538,15473,4446,4058,635,22,0,29707
33869,9278,22,0,340,43203,6,22.76,43202,1,330,6213,27824,6486,2306,44,0,0,43203
12754,47195,5194,6253,5170,71913,21,62.67,71458,455,362,9279,57739,331,192,165,11,0,68079
16180,0,15,20,280,16225,4,16.2,16207,18,9,1578,9486,3409,1718,22,2,0,16224
153326,13030,2581,270,1769,170733,9,31.84,169282,1451,106,15,177201,86,50,5,22,0,177485
57363,40142,101,50,80,97619,8,29.52,97619,0,1010,4665,45950,23847,19356,2627,166,0,97621
51771,48109,1124,11665,267,115339,18,61.02,113227,2112,1547,1418,83813,902,15130,4223,458,0,107491
67075,28785,954,3213,1261,101288,14,46.03,100288,1000,986,5647,89622,246,6738,1594,200,0,105033
79837,26845,114,1580,6790,107633,8,32.58,107632,1,579,4861,70922,21554,9386,267,74,0,107643
48670,451,772,1073,9070,51873,7,27.04,51253,620,8,192,58588,0,0,0,4,0,58792
11432,1120,354,260,3750,13307,3,9.55,12992,315,8,4,14014,0,0,1,2,0,14029
15502,2722,1272,4733,2257,26486,8,26.52,26116,370,190,23,31078,474,68,30,0,0,31863
327458,226094,3210,4948,1172,562882,16,51.97,562520,362,4966,39463,340418,77152,83008,15775,1831,0,562613
29616,3900,19,9110,290,34475,4,14.7,34473,2,26,3772,21659,6218,2786,17,0,0,34478
22636,6905,665,10,235,32557,20,68.92,31938,619,16,285,35409,0,0,0,0,0,35710
147373,5223,116,140,450,152771,9,37.9,152734,37,96,9682,86470,39155,15951,1383,13,0,152750
1378549,1535037,119132,21555,24358,3078631,18,56.27,3067430,11201,7548,47472,1910156,299009,573298,93059,46178,0,2976720
615262,932466,38628,2819,11016,1600191,52,124.06,1592175,8016,556,35663,726223,304970,378571,80234,37977,0,1564194
26401,255,14,10,340,26705,7,25.98,26692,13,15,3318,15655,5325,2342,47,1,0,26703
54449,35613,458,520,390,90611,8,29.05,90597,14,191,3733,42590,22349,18044,3157,545,0,90609
43994,1067,916,13194,4804,63975,11,35.55,62245,1730,403,4186,73760,1880,0,0,0,0,80229
55262,33192,258,1354,310,90097,8,31.39,90085,12,15,5912,46483,21776,13043,2218,647,0,90094
341748,303488,4451,6446,1505,657638,18,58.97,657505,133,251,26862,370865,88479,146683,20351,5069,0,658560
108309,67650,254,6448,710,182732,14,45.39,182675,57,1680,7944,104422,41800,23524,2604,823,0,182797
22493,6410,17,1023,130,29956,5,19.97,29956,0,1486,3419,14787,4795,4583,749,139,0,29958
33742,8858,22,0,350,42657,6,22.4,42656,1,311,5877,26915,6974,2538,42,1,0,42658
12754,48310,5194,6253,5110,73022,21,63.49,72573,449,356,8633,59045,558,336,244,21,0,69193
16244,0,15,20,280,16289,4,16.2,16271,18,9,1554,9304,3599,1796,24,2,0,16288
153331,13030,2581,270,1784,170753,9,31.76,169302,1451,109,24,177203,92,50,5,22,0,177505
56752,42925,103,50,90,99794,8,30.09,99794,0,1011,4447,47244,22033,21599,2892,570,0,99796
51794,50283,1133,11545,2678,117433,18,61.91,115321,2112,1542,1395,81272,849,18051,4774,1703,0,109586
67038,29147,961,3213,126,101619,14,46.02,100621,998,973,5606,88085,245,7990,1921,559,0,105379
80184,27280,115,1580,8040,108541,8,32.74,108540,1,594,4719,67576,23185,11333,1068,76,0,108551
48670,451,772,1073,9150,51881,7,26.96,51261,620,15,193,58588,0,0,0,4,0,58800
11432,1120,354,260,3750,13307,3,9.51,12992,315,8,4,14014,0,0,1,2,0,14029
15311,2722,1365,4735,2255,26388,8,26.25,26019,369,188,24,30913,541,66,33,0,0,31765
329813,228102,3234,4958,1173,567280,16,52.27,566918,362,4967,38721,311830,92854,97563,16794,4275,0,567004
28337,3900,19,9110,290,33196,4,14.12,33194,2,26,3539,20384,6432,2802,16,0,0,33199
22636,6905,665,10,235,32557,20,68.46,31938,619,16,285,35409,0,0,0,0,0,35710
149013,5223,116,140,450,154411,9,38.19,154374,37,96,9236,83342,42536,17788,1371,21,0,154390
1288025,1571180,124920,35058,38777,3057960,18,55.63,3046758,11202,6577,51411,1733479,311652,676137,140812,108400,0,3028468
583249,941092,33481,2814,9723,1570359,51,121.86,1563289,7070,283,33924,590689,311411,426300,120675,91917,0,1575199
26873,4411,12,10,2181,33478,8,32.49,33467,11,52,3204,15383,5758,2563,50,1,0,27011
54888,37307,456,360,1072,93759,8,29.98,93747,12,95,3496,40059,23008,20307,3827,2004,0,92796
56359,5645,1217,13503,682,83544,14,46.22,81067,2477,436,3989,71843,2336,3,0,0,0,78607
56247,33993,947,1334,270,92548,8,32.17,92536,12,24,5629,44305,22785,15576,2635,1607,0,92561
344580,319360,10579,7137,14988,696644,19,62.31,696536,108,327,26154,309161,100113,189302,38131,16741,0,679929
107774,69596,1786,6245,630,185464,14,45.96,185414,50,1691,7545,98032,42947,29011,3878,2397,0,185501
22647,6816,428,2202,120,32105,5,21.35,32105,0,1063,3716,13752,5187,6056,899,459,0,31132
33796,9395,20,230,80,43242,6,22.65,43241,1,337,5723,26835,7369,2962,41,2,0,43269
11378,49679,5153,11536,1944,79690,23,69.14,79280,410,343,8244,64794,855,588,327,51,0,75202
16638,34984,14,2520,250,51913,14,51.47,51896,17,16,1497,40882,3899,5604,23,3,0,51924
154036,33788,2772,290,1866,192491,10,35.7,190958,1533,32,95,158461,115,67,29,19,0,158818
56472,43880,110,50,90,100476,8,30.21,100476,0,1058,4123,42900,22808,23913,3843,1881,0,100526
48001,52468,1044,11576,2695,115784,18,60.83,113755,2029,2036,1457,72532,1034,20213,7067,4937,0,109276
