Provincia,Partido,Localidad,ADSL,CableModem,Dial Up,Fibra Optica,Otras conexiones,Satelital,WIMAX,Wireless,Total general,Poblacion,Telefonia Fija,Latitud,Longitud
BUENOS AIRES,Tres De Febrero,Pablo Podestá,1568,3358,0,7,12,0,0,438,5383,12990,SI,-34.5758246152249,-58.6202497472316
BUENOS AIRES,Tres De Febrero,Remedios De Escalada,159,2717,0,7814,16,0,0,0,10706,11987,SI,-34.5705752444729,-58.620118067161
BUENOS AIRES,Tres De Febrero,Saenz Peña,312,4995,0,954,0,1,0,1,6263,11666,SI,-34.5992886088748,-58.5320796402641
BUENOS AIRES,Tres De Febrero,Santos Lugares,366,6158,0,1313,8,0,0,1,7846,17205,SI,-34.5991533496562,-58.5478835120962
BUENOS AIRES,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),299,7132,0,5788,3,0,0,0,13222,24967,SI,-34.5822981982887,-58.5802932642206
BUENOS AIRES,Tres De Febrero,Villa Raffo,141,2022,0,654,3,0,0,0,2820,7948,SI,-34.6083090753398,-58.5319718083201
BUENOS AIRES,Tres Lomas,Tres Lomas,93,724,1,136,319,0,0,94,1367,8061,SI,-36.458109497037,-62.8621355091327
BUENOS AIRES,Vicente López,Carapachay,966,5363,1,2051,2,0,0,0,8383,14923,SI,-34.5259149691463,-58.5357639427634
BUENOS AIRES,Vicente López,Florida,1400,14599,2,6370,6,0,0,2,22379,47339,SI,-34.5327432636609,-58.4910979599198
BUENOS AIRES,Vicente López,Florida Oeste,334,5468,0,3171,5,1,0,245,9224,27261,SI,-34.5394223366496,-58.5148137943065
BUENOS AIRES,Vicente López,La Lucila,336,4208,1,1257,1,0,0,0,5803,12014,SI,-34.4985433329471,-58.486582489457
BUENOS AIRES,Vicente López,Munro,687,9186,8,5621,10,1,0,1,15514,35234,SI,-34.5272623078248,-58.5255060588714
BUENOS AIRES,Vicente López,Olivos,1468,24218,5,9253,10,1,0,0,34955,74242,SI,-34.512161433984,-58.4985444232342
BUENOS AIRES,Vicente López,Vicente López,338,9861,3,3218,17,0,0,1,13438,23668,SI,-34.525536745172,-58.4736495025234
BUENOS AIRES,Vicente López,Villa Adelina,0,566,0,1036,0,0,0,0,1602,9122,--,-34.5287596487564,-58.5460242623901
BUENOS AIRES,Vicente López,Villa Martelli,987,5325,1,4905,3,1,0,375,11597,25616,SI,-34.5525979527695,-58.5091432644227
BUENOS AIRES,Villa Gesell,Villa Gesell,5967,0,0,5036,91,0,0,0,11094,29593,SI,-37.2464704698501,-56.9707267624406
BUENOS AIRES,Villarino,Mayor Buratovich,129,0,0,483,0,0,0,0,612,5372,SI,-39.2590946793617,-62.6157889589915
